,export,value,sector,percent
0,cotton,26873527.0,ag,0.627587181828515
1,coffee,155872971.0,ag,3.6401577877413653
2,vegetable fibers,44562278.0,ag,1.0406789725025238
3,cloves,6707051.999999999,ag,0.1566322077134611
4,cashew and other nuts,232606172.0,ag,5.4321359440984
5,legume,156451503.0,ag,3.653668454483309
6,petroleum,175811061.00000003,oil,4.10577920446658
7,gold,1387434439.0,min,32.40125754776575
8,diamond,116222731.0,min,2.7141914127127262
9,precious stones,76698439.0,min,1.791166346816191
10,other minerals,65636476.0,min,1.5328323296750352
11,tobacco,277190004.0,ag,6.47331827494749
12,copper,96051543.0,min,2.2431263742064984
13,manufactured products,145508833.0,ind,3.398120329855699
