"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Bovine",10102,"Animal Products",1,10052430,2019
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,1876456,2019
"Live animals",101,"Poultry",10105,"Animal Products",1,56425,2019
"Live animals",101,"Other Animals",10106,"Animal Products",1,20382,2019
"Meat and edible meat offal",102,"Bovine Meat",10201,"Animal Products",1,3222,2019
"Meat and edible meat offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,470391.99999999994,2019
"Meat and edible meat offal",102,"Edible Offal",10206,"Animal Products",1,143289,2019
"Meat and edible meat offal",102,"Poultry Meat",10207,"Animal Products",1,18338,2019
"Meat and edible meat offal",102,"Preserved Meat",10210,"Animal Products",1,8641,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Live Fish",10301,"Animal Products",1,867367,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,3007775,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,4757470,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Fish Fillets",10304,"Animal Products",1,66727308,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Processed Fish",10305,"Animal Products",1,92425641,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Crustaceans",10306,"Animal Products",1,5524128,2019
"Fish and crustaceans, molluscs and other aquatic invertebrates",103,"Molluscs",10307,"Animal Products",1,149323,2019
"Dairy products and other edible products of animal origin",104,"Concentrated Milk",10402,"Animal Products",1,8877,2019
"Dairy products and other edible products of animal origin",104,"Fermented Milk Products",10403,"Animal Products",1,1009.0000000000001,2019
"Dairy products and other edible products of animal origin",104,"Whey",10404,"Animal Products",1,743,2019
"Dairy products and other edible products of animal origin",104,"Butter",10405,"Animal Products",1,125,2019
"Dairy products and other edible products of animal origin",104,"Cheese",10406,"Animal Products",1,414,2019
"Dairy products and other edible products of animal origin",104,"Eggs",10407,"Animal Products",1,511860.00000000006,2019
"Dairy products and other edible products of animal origin",104,"Processed Egg Products",10408,"Animal Products",1,9216.000000000002,2019
"Dairy products and other edible products of animal origin",104,"Honey",10409,"Animal Products",1,1602507,2019
"Animal originated products; not elsewhere specified or included",105,"Human Hair",10501,"Animal Products",1,6242,2019
"Animal originated products; not elsewhere specified or included",105,"Pig Hair",10502,"Animal Products",1,15,2019
"Animal originated products; not elsewhere specified or included",105,"Animal Organs",10504,"Animal Products",1,6987,2019
"Animal originated products; not elsewhere specified or included",105,"Processed Bones",10506,"Animal Products",1,135602,2019
"Animal originated products; not elsewhere specified or included",105,"Raw Bones",10507,"Animal Products",1,535446,2019
"Animal originated products; not elsewhere specified or included",105,"Coral and Shells",10508,"Animal Products",1,400294,2019
"Animal originated products; not elsewhere specified or included",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,24124.000000000004,2019
"Animal originated products; not elsewhere specified or included",105,"Other Inedible Animal Products",10511,"Animal Products",1,896026,2019
"Trees and other live plants",206,"Bulbs and Roots",20601,"Vegetable Products",2,12613,2019
"Trees and other live plants",206,"Other Live Plants",20602,"Vegetable Products",2,23307241,2019
"Trees and other live plants",206,"Cut Flowers",20603,"Vegetable Products",2,18251071,2019
"Trees and other live plants",206,"Foliage",20604,"Vegetable Products",2,63238,2019
"Vegetables and certain roots and tubers; edible",207,"Potatoes",20701,"Vegetable Products",2,45018,2019
"Vegetables and certain roots and tubers; edible",207,"Tomatoes",20702,"Vegetable Products",2,62464,2019
"Vegetables and certain roots and tubers; edible",207,"Onions",20703,"Vegetable Products",2,2094515,2019
"Vegetables and certain roots and tubers; edible",207,"Cabbages",20704,"Vegetable Products",2,533387,2019
"Vegetables and certain roots and tubers; edible",207,"Lettuce",20705,"Vegetable Products",2,386638,2019
"Vegetables and certain roots and tubers; edible",207,"Root Vegetables",20706,"Vegetable Products",2,92630,2019
"Vegetables and certain roots and tubers; edible",207,"Cucumbers",20707,"Vegetable Products",2,372.00000000000006,2019
"Vegetables and certain roots and tubers; edible",207,"Legumes",20708,"Vegetable Products",2,2601020,2019
"Vegetables and certain roots and tubers; edible",207,"Other Vegetables",20709,"Vegetable Products",2,1180046,2019
"Vegetables and certain roots and tubers; edible",207,"Frozen Vegetables",20710,"Vegetable Products",2,27160,2019
"Vegetables and certain roots and tubers; edible",207,"Preserved Vegetables",20711,"Vegetable Products",2,1365.9999999999998,2019
"Vegetables and certain roots and tubers; edible",207,"Dried Vegetables",20712,"Vegetable Products",2,43485,2019
"Vegetables and certain roots and tubers; edible",207,"Dried Legumes",20713,"Vegetable Products",2,153850483,2019
"Vegetables and certain roots and tubers; edible",207,"Cassava",20714,"Vegetable Products",2,14533258,2019
"Fruit and nuts, edible; peel of citrus fruit or melons",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,231175355,2019
